Begin Date of the Week,REDC Region,First Infections Count,Reinfections Count
06/14/2021,Capital Region,86,4
06/14/2021,Central New York,69,4
06/14/2021,Finger Lakes,123,10
06/14/2021,Long Island,349,38
06/14/2021,Mid-Hudson,210,25
06/14/2021,Mohawk Valley,39,2
06/14/2021,New York City,1259,86
06/14/2021,North Country,44,2
06/14/2021,Southern Tier,68,5
06/14/2021,Western New York,62,5
06/07/2021,Capital Region,89,3
06/07/2021,Central New York,130,5
06/07/2021,Finger Lakes,210,9
06/07/2021,Long Island,407,51
06/07/2021,Mid-Hudson,318,28
06/07/2021,Mohawk Valley,66,1
06/07/2021,New York City,1420,79
